Edit,Item Code,Item Name,Item Volume/Qty,Base Conversion Name,Conversion Volume/Qty,Conversion Name,Conversion Unit,Updated By,Updated Date
,12028,THE SECRET LIFE OF NUTS AND RAISINS,1,PIECE,1,UNIT,1.0,Shubham,2025-09-17 13:16:54
,12029,THE MANGO MENACE - 55% DARK ALPHONSO MANGO CHILLI CHOCOLATE,1,PIECE,1,UNIT,1.0,Shubham,2025-09-17 13:05:31
,12030,40% GHANA SINGLE ORIGIN MILK CHOCOLATE,1,PIECE,1,UNIT,1.0,Shubham,2025-09-02 15:23:46
,12031,70% ECUADOR SINGLE ORIGIN DARK CHOCOLATE BAR,1,PIECE,1,UNIT,1.0,Shubham,2025-09-02 15:24:33
,12032,SEA SALT CARAMEL DRAGEES JAR,1,PIECE,1,UNIT,1.0,Shubham,2025-09-02 15:21:40
,12033,KUNAFA CHOCOLATE BAR,1,PIECE,1,UNIT,1.0,Shubham,2025-09-02 15:22:38
,12034,70% SEA SALT CARAMEL DARK BAR,1,PIECE,1,UNIT,1.0,Shubham,2025-09-02 15:11:34
,12035,BISCOFF DRAGEES JAR,1,PIECE,1,UNIT,1.0,Shubham,2025-09-02 15:15:04
,12036,MACADAMIA DRAGEES JAR,1,PIECE,1,UNIT,1.0,Shubham,2025-09-02 15:17:24
,12037,BLUEBERRY CHEESECAKE DRAGEES JAR,1,PIECE,1,UNIT,1.0,Shubham,2025-09-02 15:46:24
,12056,ROYCE RED PAPER BAG XL,1,PIECE,1,UNIT,1.0,Shubham,2025-09-16 09:16:33
,12057,ROYCE RED PAPER BAG XXL,1,PIECE,1,UNIT,1.0,Shubham,2025-09-16 09:19:45
,12058,JACADI ECOM BOX,1,PIECE,1,UNIT,1.0,Shubham,2025-09-16 12:15:52
,12059,ROYCE POTEGOMA COOKIES,1,BOX,1,UNIT,1.0,admin1,2025-10-08 17:45:01
,12060,ROYCE MACADAMIA GIANDUJA CHOCOLATE,1,BOX,1,UNIT,1.0,admin1,2025-10-08 17:46:07
